SiteCode,YCoord,Xcoord
PSD03,19.916667,77.633333
PSD02,19.916667,77.633333
PSD05,19.916667,77.633333
CDP01,19.95294,79.296342
RSO01,19.969978,76.780008
TDL01,19.978814,79.176967
ARN02,20.066667,78.95
ARN03,20.066667,78.95
WSM04,20.103181,77.136214
WSM05,20.103181,77.136214
MGV01,20.239489,77.00045
YVM03,20.388239,78.127731
THL01,20.393889,77.296022
THL02,20.393889,77.296022
BDN01,20.532858,76.182803
MGL04,20.555444,79.162942
PHR02,20.600528,78.0594
BMP01,20.603667,79.867247
BMP02,20.603667,79.867247
ARV01,20.634911,79.139686
AKL01,20.708192,77.008701
MPR01,20.730017,77.367639
SBT01,20.7424,79.558992
MNA01,20.767422,77.479539
MNA02,20.767422,77.479539
PNR34,20.781153,78.670861
PNR13,20.781153,78.670861
PNR36,20.781153,78.670861
PNR03,20.781153,78.670861
PNR08,20.781153,78.670861
PNI03,20.793947,79.636917
PNI04,20.793947,79.636917
PNI06,20.793947,79.636917
PNI05,20.793947,79.636917
LHR04,20.822044,76.763967
KRJ01,20.856133,76.827517
DHG01,20.858964,76.400406
BKL02,20.906169,77.603503
KDP03,20.916667,78.083333
AVT01,20.938092,77.779514
KLP02,20.95,77.516667
MND20,20.95287,79.46045
MND04,20.95517,79.45764
ADM02,20.999636,79.449992
ADM03,20.999636,79.449992
ADM04,20.999636,79.449992
AGN01,21.005575,79.584553
NWR02,21.038594,79.431311
NWR01,21.038594,79.431311
SPW01,21.086969,79.894264
AKT02,21.100006,77.059803
NGP01,21.145878,79.08815
NGM01,21.151031,79.078061
BDR02,21.170375,79.649964
BDR04,21.170375,79.649964
PPR01,21.177725,76.80185
Apr-01,21.2583,77.508858
SNR04,21.385964,78.920147
NGR02,21.494956,80.210786
GGD04,21.554537,79.173552